respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.11138201914856281,0.26238360176934
26708,0.0997755355020155,0.07194054538259587
26709,0.29474462372446075,0.820745241937212
26710,0.5975976015256786,0.8278055735501736
26711,0.13637821313483303,0.47408216555837257
26712,0.6524924063894768,0.9496197232888955
26713,0.2361751035628925,0.41297098838886653
26714,0.13948073177144607,0.13547854384142313
26715,0.11971109744355207,0.08876404578199523
26716,0.13531539745686572,0.9239940244800218
26717,0.07066190461910721,0.41093685183801615
26718,0.13285205488600013,0.5321940259468507
26719,0.06587478969660708,0.913274950109905
26720,0.07383868121541347,0.2654465784161295
26721,0.2060714313965852,0.34570203106348263
26722,0.10290672312621724,0.08124109903730453
26723,0.687209201526156,0.8942959067195576
26724,0.15563748462388913,0.8208894799768454
26725,0.08496739522417249,0.10285259961698767
26726,0.09918668592949946,0.0599720026922401
26727,0.1519233006974646,0.9053801306644539
26728,0.14719606319824255,0.5399932586379118
26729,0.22890033704614274,0.5860979681392061
26730,0.1281858288467218,0.15738602282560607
26731,0.14578532117494336,0.5209450830464477
26732,0.09058072530953325,0.14303964137564043
26733,0.9743369788670825,0.9719885956179933
26734,0.8281829198653734,0.5887634930972879
26735,0.10239005655172848,0.40447772478667476
26736,0.09444788443997222,0.19376832612278225
26737,0.1258836566292388,0.09345478785018697
26738,0.7836991512698158,0.8580849072261082
26739,0.12744005292566374,0.1407901680669952
26740,0.13432455515770556,0.1242266713713215
26741,0.1284317286338174,0.9228580847607712
26742,0.12761016704122258,0.34901185153319075
26743,0.09837380133276558,0.47039935283857454
26744,0.08101562491346415,0.7455415157014159
26745,0.11065299020128015,0.9208223429233575
26746,0.11541988725445937,0.29424495689585045
26747,0.12013327515875402,0.19379259302819976
26748,0.08303090572067968,0.09237609782642614
26749,0.11189021819610244,0.6374292522247343
26750,0.7507019215671482,0.886987314329918
26751,0.394916123030781,0.6448346262315613
26752,0.15934826720312253,0.08905890194572541
26753,0.14254803115510517,0.6335270072014141
26754,0.10274439292953304,0.517149591945109
26755,0.09407517263202317,0.24155226716515527
26756,0.13519465965707356,0.08651118880459631
26757,0.5246645745135626,0.6119692015832767
26758,0.4348358842545892,0.8690160596605812
26759,0.11701964892124506,0.1538025651364344
26760,0.12024490652601295,0.07075535957987736
26761,0.15749493388848318,0.5953706793477713
26762,0.14808523004431146,0.7951089254562982
26763,0.9739938120505554,0.959270948632385
26764,0.9826363122588353,0.9685860296677476
26765,0.052057720785609635,0.6106193344283157
26766,0.12425656439944649,0.18321695171822322
26767,0.8429551372049323,0.6085261127539772
26768,0.04258827709731202,0.4812259967315339
26769,0.14689527634184954,0.2373693999234873
26770,0.07445028781281225,0.5
26771,0.09038768997204365,0.25009593717932377
26772,0.10396472354964213,0.38176139645696494
26773,0.056106965631506966,0.36510429171468256
26774,0.07875256699640831,0.4624785967433825
26775,0.08543142894831661,0.47856894004842077
26776,0.3472462909125106,0.369831427027205
26777,0.07894639682122796,0.9141850243647646
26778,0.0488485304005881,0.07330230943792387
26779,0.1211914855307684,0.708143468493657
26780,0.11179753752399424,0.9565386029435258
26781,0.08379715783354433,0.2640826161626811
26782,0.10547007692652799,0.2921554523459041
26783,0.10470757083172366,0.2444518133488092
26784,0.4019163647320632,0.9257033919827602
26785,0.3368192848417496,0.5139812012248526
26786,0.10079414716082433,0.19148701153370606
26787,0.1386799628094146,0.6663144941751975
26788,0.07468569623333393,0.930260429679198
26789,0.04376733842218845,0.20052654648204624
26790,0.1002515854397588,0.18465676973726025
26791,0.059669046347865115,0.06448815135123147
26792,0.09087500196524789,0.7638904301462535
26793,0.11826444275663019,0.9233084224114994
26794,0.877474172441538,0.8389785198017666
26795,0.06172230504367867,0.9764795527772295
26796,0.10461813815477665,0.048613086422424796
26797,0.0942872638677461,0.5574462320069035
26798,0.16864925493990532,0.2142384083136112
26799,0.27737562457853643,0.22506006540844586
26800,0.0793309191827271,0.946173426345704
26801,0.13232041123800892,0.21219086638461043
